feat,freq
.,2073
the,2073
to,2072
a,2072
v,2069
is,2066
in,2065
!,2064
and,2063
of,2061
i,2061
for,2054
/,2053
?,2051
on,2049
you,2046
with,2044
it,2042
this,2041
:,2041
my,2037
...,2029
at,2027
that,2026
have,2024
me,2024
are,2024
just,2021
-,2019
out,2012
be,2012
all,2011
your,2011
from,2006
new,2003
so,2002
not,2001
what,2001
q,1998
(,1995
time,1993
),1992
do,1992
one,1991
up,1990
no,1990
but,1987
day,1986
can,1985
by,1984
now,1984
like,1981
if,1980
get,1980
will,1978
we,1978
how,1977
about,1977
good,1975
more,1974
go,1964
or,1963
as,1963
was,1961
know,1957
love,1956
an,1952
when,1948
today,1943
see,1940
who,1940
want,1938
don't,1937
need,1936
rt,1934
&,1933
back,1928
got,1928
some,1926
has,1925
make,1924
it's,1924
i'm,1923
great,1922
there,1922
too,1922
way,1920
people,1919
here,1919
<newline>,1918
only,1917
they,1909
2,1909
life,1909
twitter,1907
think,1904
going,1901
first,1900
best,1900
',1898
still,1896
am,1892
why,1890
really,1890
http://t.co,1890
been,1887
take,1887
over,1886
than,1885
world,1883
much,1883
should,1881
work,1880
off,1878
last,1877
after,1877
would,1874
our,1870
home,1865
better,1863
happy,1862
right,1859
3,1857
us,1856
night,1856
had,1856
very,1855
can't,1853
next,1852
never,1849
s,1848
where,1847
come,1846
down,1845
say,1845
them,1845
days,1844
he,1841
1,1841
€,1837
into,1836
check,1835
getting,1834
again,1833
year,1833
ever,1832
free,1831
his,1831
thanks,1830
then,1829
other,1829
things,1828
made,1826
could,1826
their,1825
did,1824
4,1824
look,1823
live,1820
well,1819
find,1817
please,1816
another,1815
any,1815
5,1814
even,1813
before,1812
big,1812
little,1810
hope,1808
old,1808
show,1808
always,1807
something,1805
â,1803
long,1803
keep,1802
being,1799
were,1797
watch,1794
most,1794
bad,1793
every,1793
her,1791
week,1791
because,1791
thing,1789
let,1788
tomorrow,1785
help,1784
feel,1784
start,1782
give,1781
man,1779
two,1778
many,1777
looking,1777
does,1777
nice,1776
morning,1774
its,1772
....,1769
try,1767
10,1764
fun,1764
these,1763
around,1762
may,1760
years,1759
those,1756
that's,1755
away,1754
via,1753
stop,1752
doing,1752
done,1751
everyone,1751
coming,1750
wait,1749
real,1749
friends,1745
nothing,1744
oh,1744
while,1743
yes,1743
use,1743
hard,1743
tonight,1741
end,1740
watching,1739
sure,1739
soon,1738
own,1738
she,1738
call,1737
house,1737
trying,1736
found,1735
ready,1733
t,1733
place,1732
u,1732
same,1731
i've,1731
thank,1730
working,1729
without,1728
video,1726
you're,1726
must,1725
having,1725
makes,1724
finally,1722
making,1720
read,1719
someone,1717
him,1714
..,1713
put,1709
through,1708
tell,1708
which,1707
everything,1707
yet,1706
play,1704
™,1702
full,1698
wish,1694
also,1694
part,1692
thought,1691
family,1690
already,1690
awesome,1689
6,1689
enough,1689
cool,1687
win,1687
anyone,1686
change,1685
follow,1685
i'll,1685
music,1682
amazing,1681
friend,1680
miss,1680
game,1678
times,1678
hours,1675
lot,1675
lost,1672
left,1672
looks,1671
talk,1671
believe,1671
/8,1670
true,1669
anything,1668
+,1667
said,1667
name,1666
waiting,1665
head,1665
once,1663
pretty,1659
$,1657
hot,1656
top,1656
post,1655
7,1655
far,1654
girl,1653
doesn't,1653
weekend,1652
didn't,1650
few,1649
job,1649
stay,1647
mind,1646
wow,1645
news,1644
buy,1643
high,1642
maybe,1641
remember,1641
wrong,1639
w,1638
says,1638
tweet,1638
8,1638
beautiful,1637
what's,1637
party,1637
since,1636
taking,1636
sleep,1636
until,1636
:),1636
heart,1635
hey,1632
story,1632
thinking,1631
open,1630
school,1630
used,1628
might,1628
=,1626
baby,1624
set,1622
such,1621
care,1621
actually,1621
feeling,1621
almost,1620
seen,1620
@,1619
movie,1617
myself,1617
food,1616
hear,1616
went,1615
book,1615
needs,1614
whole,1613
o,1613
both,1613
blog,1612
¦,1612
*,1612
friday,1611
run,1611
comes,1610
m,1609
20,1609
money,1609
person,1609
sorry,1608
idea,1606
early,1605
%,1604
hate,1603
guys,1602
goes,1602
white,1602
under,1600
late,1600
birthday,1600
black,1599
ask,1598
guy,1598
phone,1598
playing,1598
leave,1597
crazy,1596
god,1595
kind,1594
else,1594
tv,1594
together,1594
saw,1594
;,1594
mean,1592
face,1591
between,1591
stuff,1591
reading,1589
city,1588
enjoy,1587
yesterday,1586
there's,1582
easy,1582
song,1581
room,1580
guess,1580
isn't,1580
perfect,1577
won't,1577
using,1577
gets,1576
red,1575
took,1573
fall,1572
meet,1570
less,1570
kids,1569
bit,1569
bring,1568
http://,1568
let's,1565
word,1565
wants,1562
break,1562
ago,1562
funny,1562
though,1561
photo,1560
#,1560
called,1560
heard,1559
12,1559
started,1558
sad,1558
facebook,1558
each,1558
learn,1557
month,1557
least,1556
worth,1554
different,1553
came,1552
eat,1550
30,1549
talking,1549
words,1547
living,1546
welcome,1545
ok,1545
super,1542
turn,1542
hour,1542
join,1541
gone,1541
sweet,1541
water,1540
line,1540
move,1539
yourself,1539
list,1537
cold,1537
sunday,1535
sometimes,1534
online,1534
car,1533
we're,1531
future,1531
summer,1530
rest,1530
second,1529
forget,1528
hit,1528
9,1527
starting,1526
light,1526
chance,1524
special,1523
side,1523
walk,1522
past,1522
send,1521
support,1521
moment,1521
giving,1521
bed,1521
later,1520
reason,1519
power,1519
seems,1517
listening,1517
half,1516
outside,1515
wanted,1514
running,1513
means,1512
b,1512
minutes,1511
rain,1510
yeah,1508
small,1508
close,1508
become,1507
fast,1507
share,1507
c,1506
season,1505
wonder,1505
r,1504
gonna,1504
he's,1502
monday,1502
others,1501
three,1499
fire,1498
dead,1498
interesting,1497
behind,1496
sounds,1496
forward,1495
boy,1494
weeks,1493
100,1493
haven't,1493
excited,1493
instead,1492
happen,1491
mine,1490
15,1490
probably,1489
missed,1489
hand,1489
plan,1488
sun,1487
course,1487
works,1483
point,1478
glad,1478
green,1477
dream,1477
saying,1476
save,1473
eyes,1472
favorite,1472
short,1471
air,1470
i'd,1469
saturday,1467
problem,1467
takes,1465
team,1465
during,1465
told,1463
sign,1462
months,1461
pay,1460
you'll,1460
christmas,1458
class,1458
add,1457
dinner,1456
weather,1454
sound,1453
page,1452
case,1452
following,1452
listen,1452
visit,1451
stand,1451
n,1448
tired,1446
picture,1445
rock,1444
loved,1443
girls,1443
inside,1443
office,1439
understand,1439
men,1438
fan,1437
trip,1437
feels,1436
business,1436
question,1435
e,1435
internet,1435
blue,1433
body,1433
deal,1430
missing,1428
50,1428
p,1428
road,1428
seeing,1428
front,1427
able,1427
date,1425
coffee,1425
order,1425
young,1425
important,1424
tweets,1422
cut,1421
11,1421
lunch,1420
write,1419
you've,1418
gave,1417
number,1416
store,1416
tried,1416
alone,1416
seriously,1414
pick,1414
longer,1413
huge,1412
drive,1412
ones,1412
matter,1411
knew,1411
finished,1411
couple,1410
single,1407
art,1407
either,1406
happened,1406
lots,1405
hands,1404
d,1404
against,1404
totally,1404
they're,1404
posted,1403
star,1402
cause,1402
dark,1402
link,1401
country,1399
hold,1398
happens,1396
here's,1396
sick,1396
fine,1395
knows,1393
group,1393
spend,1393
moving,1393
busy,1393
1st,1393
shows,1392
woman,1392
experience,1392
hair,1391
proud,1391
answer,1391
agree,1388
dear,1386
site,1386
catch,1385
women,1382
lol,1382
ice,1382
final,1381
town,1381
social,1380
american,1379
death,1377
needed,1376
hell,1375
starts,1374
rather,1374
possible,1372
along,1371
dog,1370
worst,1370
luck,1368
eating,1367
fight,1365
watched,1364
email,1363
cover,1363
bought,1362
beat,1361
wasn't,1360
couldn't,1359
thoughts,1358
safe,1358
google,1357
asked,1357
wake,1355
park,1355
service,1353
state,1352
update,1352
drink,1352
street,1351
box,1347
slow,1345
h,1344
wear,1343
quite,1343
company,1342
message,1342
kill,1340
sent,1340
forever,1339
die,1338
age,1338
official,1338
pass,1337
sitting,1336
exactly,1336
lose,1335
she's,1335
space,1333
fact,1333
walking,1332
lady,1331
aren't,1331
john,1330
gift,1328
hello,1327
loving,1327
voice,1327
won,1327
spent,1327
25,1327
view,1326
games,1326
taken,1324
hi,1323
met,1322
cup,1322
eye,1322
strong,1321
yours,1321
books,1321
changed,1320
sense,1320
project,1319
version,1319
who's,1319
f,1318
meeting,1318
often,1317
choice,1316
boys,1315
gotta,1314
vs,1314
kid,1313
we'll,1312
leaving,1309
earth,1308
daily,1308
wonderful,1308
photos,1307
writing,1306
afternoon,1306
history,1305
seem,1304
wanna,1303
account,1303
dance,1302
door,1302
quick,1301
clean,1299
club,1299
available,1299
holiday,1299
finish,1299
minute,1298
weird,1298
shot,1297
today's,1297
breakfast,1297
forgot,1296
especially,1296
mom,1296
fans,1295
gives,1294
complete,1294
near,1294
style,1294
public,1294
series,1293
secret,1292
middle,1292
event,1292
card,1291
mother,1291
website,1291
definitely,1290
whatever,1289
serious,1289
touch,1289
piece,1289
pain,1289
vote,1288
anymore,1287
la,1286
loves,1286
turned,1286
test,1286
stupid,1283
hoping,1283
congrats,1282
shopping,1281
pic,1280
mr,1280
ways,1280
children,1280
wouldn't,1278
|,1278
poor,1277
driving,1277
interview,1276
action,1276
ahead,1276
https://t.co,1274
child,1273
re,1272
wearing,1272
simple,1270
pm,1270
building,1270
human,1269
step,1268
snow,1268
app,1267
:(,1267
due,1267
five,1266
king,1266
wall,1266
apple,1265
putting,1264
cute,1264
lives,1264
13,1264
14,1264
media,1263
figure,1263
deep,1262
paper,1262
24,1261
dad,1260
extra,1260
pictures,1260
shop,1258
four,1258
imagine,1257
calling,1257
caught,1257
parents,1256
ya,1256
control,1255
note,1254
laugh,1253
40,1253
breaking,1252
cannot,1250
decided,1250
truth,1249
ride,1248
return,1248
plans,1248
bar,1248
asking,1246
personal,1246
plus,1245
self,1245
act,1245
speak,1244
national,1244
latest,1243
g,1242
lucky,1241
enjoying,1241
million,1240
record,1240
looked,1239
2nd,1239
low,1238
evening,1237
ideas,1236
hurt,1236
straight,1235
wondering,1234
across,1234
difference,1233
:/,1233
article,1232
worry,1231
level,1230
local,1230
played,1228
felt,1227
keeps,1226
tea,1226
trust,1225
beach,1225
happening,1225
damn,1224
thinks,1224
july,1223
iphone,1223
dreams,1222
problems,1222
planning,1221
sit,1220
broken,1220
fresh,1219
info,1219
grow,1218
showing,1218
stuck,1218
mad,1217
drop,1216
spot,1216
area,1215
k,1215
followers,1214
j,1214
movies,1214
smile,1213
thursday,1211
given,1211
st,1210
round,1210
sale,1210
somewhere,1209
son,1209
success,1209
fix,1209
attention,1208
spring,1207
~,1207
radio,1206
biggest,1206
album,1206
bill,1205
warm,1205
type,1204
interested,1204
double,1203
calls,1202
clear,1202
celebrate,1200
http,1200
train,1200
officially,1200
opening,1200
worse,1199
brought,1199
brain,1198
